Questions,Classifications
What is/are the strengths of a WLAN,1
Identify the benefits of a wireless network,1
State the disadvantages of WPA-2,1
Define the sources of risk to a PAN,1
State the importance of WEP,1
Outline the importance of a VPN,1
Describe the importance of a wired network,0
Explain the advantages of WPA,1
Identify the threats to a PAN,0
Suggest the requirements of a router,0
What is/are the strengths of a server,0
Suggest the weaknesses of a PAN,1
What is/are the functions of the network topologies,1
What is/are the functionality of a LAN,1
Outline the requirements of WPA,0
Suggest the features of the network topologies,0
Define the sources of risk to a WLAN,1
Suggest the threats to WPA-2,0
State the threats to a LAN,1
Explain the threats to a wireless network,1
Outline the functionality of WPA,1
Outline the disadvantages of a VPN,1
Outline the disadvantages of WPA,0
Explain the technology required for a router,0
Define the security concerns of a WLAN,1
What is/are the functionality of the network topologies,1
What is/are the technology required for a network,0
Suggest the sources of risk to an extranet,1
Describe the importance of a VPN,1
Define the requirements of a wireless network,1
Describe the benefits of a VPN,1
Define the features of WEP,0
Define the use of an extranet,1
Describe the term(s) WEP,1
Define the functions of a LAN,0
State the security concerns of a SAN,0
Define the threats to the network topologies,0
Describe the functions of a wireless network,1
Define the functionality of WPA-2,0
Define the security concerns of a wireless network,1
Describe the features of a VPN,1
Explain the disadvantages of an extranet,1
State the strengths of a LAN,1
Describe the advantages of a wired network,1
Outline the security concerns of a SAN,0
What is/are the security concerns of a wireless network,1
Explain the advantages of a LAN,1
State the strengths of a network,0
What is/are the threats to WPA-2,0
Outline the functions of a PAN,1
List the advantages of using a WLAN and a server,0
List the advantages of using a router and a server,0
List the advantages of using a VPN and the network topologies,0
List the advantages of using WEP and a wireless network,1
What are the Similarities and Differences between the advantages of WEP and a SAN,0
List the advantages of using a SAN and WPA,0
Distinguish between the functions of a WLAN and a VPN,0
What are the Similarities and Differences between the features of a SAN and a LAN,1
Compare and Contrast what WPA-2 and a LAN,0
What are the Similarities and Differences between the term(s) a PAN and an extranet,1
What are the Similarities and Differences between the functionality of a server and WPA-2,0
Distinguish between the requirements of a PAN and a WLAN,1
What are the Similarities and Differences between the weaknesses of the network topologies and WEP,0
What are the Similarities and Differences between the requirements of WEP and a network,0
Compare and Contrast the benefits of the network topologies and WEP,0
List the advantages of using a VPN and WEP,1
Compare and Contrast the requirements of a wireless network and a router,0
List the advantages of using a PAN and a network,0
Distinguish between the technology required for a router and a WLAN,0
Distinguish between the security concerns of a LAN and WEP,0
Compare and Contrast the use of a wireless network and a server,1
List the advantages of using an extranet and a VPN,1
What are the Similarities and Differences between the weaknesses of a LAN and a router,0
List the advantages of using a router and a wired network,0
What are the Similarities and Differences between the strengths of a network and a LAN,0
Distinguish between the security concerns of a SAN and a wireless network,1
